Data,Código,Produto,Quantidade,Funcionario,Validade
11/03/2026,PO-036,GINSENG EM PO,2094,JOÃO,10/2027
11/03/2026,PO-037,ACUCAR XYLITOL,3318,ADILSON,08/2027
12/03/2026,TEM-010,PAPRICA DEFUMADA,6404,JOÃO,02/2027
12/03/2026,PO-027,PSYLLIUM,3716,JOÃO,08/2027
12/03/2026,GRA-038,QUINOA PRETA,0,JOÃO,08/2026
12/03/2026,TEM-008,CHIMICHURRI SEM PIMENTA,1946,ADILSON,10/2026
12/03/2026,PO-015,GUARANÁ EM PÓ,,ADILSON,03/2027
12/03/2026,PO-023,MACA PERUANA VERMELHA,2574,ADILSON,07/2026
12/03/2026,PO-012,CANELA PO,2624,ADILSON,04/2027
12/03/2026,ERV-025,ESPINHEIRA SANTA,,ADILSON,01/2027
12/03/2026,GRA-030,GERGELIM BRANCO C. PELE,,JOÃO,10/2027
12/03/2026,GRA-012,PEPITA DE GIRASSOL,4363,JOÃO,10/2026
12/03/2026,GRA-007,SEMENTE DE ABOBORA,4111,JOÃO,10/2027
12/03/2026,GRA-032,FARINHA DE AMENDOIM,,JOÃO,06/2026
12/03/2026,PO-003,CATUABA PO,1200,ADILSON,06/2026
12/03/2026,PO-036,GINSENG EM PO,2768,ADILSON,10/2027
12/03/2026,TEM-019,TEMPERO DO CHEFF COM CURRY,2062,ADILSON,09/2026
12/03/2026,PO-035,FUMACA EM PO,2506,ADILSON,10/2026
12/03/2026,ERV-025,ESPINHEIRA SANTA,,JOÃO,01/2027
12/03/2026,GRA-014,AMENDOIM GRANULADO,3633,JOÃO,06/2026
12/03/2026,PO-038,MARAPUAMA EM PO,,JOÃO,10/2026
12/03/2026,OUT-001,VINAGRE DE MAÇÃ,6,SÁVIO,
12/03/2026,PO-016,MACA PERUANA COMUM,,JOÃO,07/2026
12/03/2026,TEM-003,TEMP EDU GUEDES,2790,ADILSON,10/2026
12/03/2026,ERV-027,FOLHA DE LOURO,,JOÃO,01/2027
12/03/2026,GRA-010,GERGELIM PRETO,5440,ADILSON,03/2027
12/03/2026,ERV-019,ERVA DOCE,13540,JOÃO,03/2027
12/03/2026,TEM-007,ACAFRAO PO,4514,ADILSON,04/2027
13/03/2026,ERV-022,MANJERICAO,1262,ADILSON,12/2027
13/03/2026,ERV-022,MANJERICAO,1264,JOÃO,12/2027
13/03/2026,GRA-020,FARELO DE AVEIA SEM GLUTEN,5328,JOÃO,11/2026
13/03/2026,GRA-020,FARELO DE AVEIA SEM GLUTEN,5224,ADILSON,11/2026
13/03/2026,GRA-007,SEMENTE DE ABOBORA,6988,ADILSON,10/2027
13/03/2026,GRA-013,AMENDOIM BANDADO,5716,ADILSON,01/2027
13/03/2026,GRA-026,BISCOITO DE ARROZ CEBOLA E SALSA,2100,ADILSON,09/2026
13/03/2026,GRA-026,BISCOITO DE ARROZ CEBOLA E SALSA,2030,JOÃO,09/2026
13/03/2026,TEM-009,LEMON PAPPER,2844,ADILSON,01/2027
13/03/2026,GRA-008,BISCOITO DE ARROZ CHURRASCO,1984,ADILSON,10/2026
16/03/2026,GRA-016,CASTANHA DE CAJU NA BRASA,5465,ADILSON,01/2027
16/03/2026,GRA-019,CASTANHA DE CAJU NO FORNO,5935,ADILSON,10/2026
16/03/2026,GRA-019,CASTANHA DE CAJU NO FORNO,6170,JOÃO,08/2026
16/03/2026,FRU-001,AMEIXA SEM CAROCO,6929,ADILSON,11/2026
16/03/2026,FRU-001,AMEIXA SEM CAROCO,3072,JOÃO,11/2026
16/03/2026,GRA-013,AMENDOIM BANDADO,4960,JOÃO,10/2026
16/03/2026,TEM-008,CHIMICHURRI SEM PIMENTA,1332,JOÃO,12/2026
16/03/2026,TEM-033,CREME DE CEBOLA,0,JOÃO,04/2027
16/03/2026,PO-012,CANELA PO,1438,JOÃO,09/2026
16/03/2026,GRA-033,CRAVINHO,,JOÃO,01/2028
16/03/2026,GRA-041,ANIS ESTRELADO,,JOÃO,04/2027
16/03/2026,GRA-017,MIX DE VEGETAIS,2500,ADILSON,10/2026
16/03/2026,TEM-008,CHIMICHURRI SEM PIMENTA,2328,ADILSON,10/2026
16/03/2026,GRA-022,LINHACA DOURADA,2852,ADILSON,10/2027
16/03/2026,PO-011,MACA PERUANA PRETA,,ADILSON,10/2026
16/03/2026,PO-025,GENGIBRE EM PO,2414,ADILSON,09/2028
16/03/2026,TEM-010,PAPRICA DEFUMADA,4328,ADILSON,02/2027
16/03/2026,GRA-012,PEPITA DE GIRASSOL,5344,ADILSON,09/2026
16/03/2026,GRA-039,SEMENTE DE CHIA PREMIUM,7130,JOÃO,08/2026
16/03/2026,GRA-039,SEMENTE DE CHIA PREMIUM,7255,ADILSON,08/2026
16/03/2026,GRA-003,AVEIA FLOCOS GROSSOS,5722,ADILSON,10/2026
16/03/2026,GRA-040,GRANOLA C. CASTANHA E COCO,5058,ADILSON,10/2026
16/03/2026,PO-010,LINHAÇA DOURADA FARINHA,4860,ADILSON,08/2026
16/03/2026,GRA-004,FARELO DE AVEIA,4250,ADILSON,10/2027
16/03/2026,FRU-002,UVA PASSA PRETA MEDIA,5820,ADILSON,11/2026
16/03/2026,PO-010,LINHAÇA DOURADA FARINHA,4518,JOÃO,08/2026
16/03/2026,GRA-005,MILHO TOR MOSTARDA E MEL,2690,ADILSON,08/2026
17/03/2026,PO-015,GUARANÁ EM PÓ,,JOÃO,01/2027
17/03/2026,PO-025,GENGIBRE EM PO,1668,JOÃO,09/2028
17/03/2026,ERV-028,FLOR DE HIBISCO,,JOÃO,08/2027
17/03/2026,ERV-013,FOLHA DE GRAVIOLA,2524,JOÃO,11/2027
17/03/2026,ERV-012,BALEEIRA,4765,JOÃO,09/2027
17/03/2026,ERV-026,ALFAZEMA,,JOÃO,06/2027
17/03/2026,ERV-027,FOLHA DE LOURO,,ADILSON,01/2027
17/03/2026,ERV-018,ALECRIM,7016,JOÃO,10/2027
17/03/2026,GRA-022,LINHACA DOURADA,6158,ADILSON,10/2027
17/03/2026,CAS-009,CASCA DE CANELA,,JOÃO,01/2027
17/03/2026,GRA-018,MIX DE FRUTAS TROPICAIS,2848,ADILSON,10/2026
17/03/2026,TEM-007,ACAFRAO PO,6065,ADILSON,01/2027
17/03/2026,GRA-030,GERGELIM BRANCO C. PELE,,ADILSON,10/2027
17/03/2026,GRA-039,SEMENTE DE CHIA PREMIUM,5220,ADILSON,08/2027
17/03/2026,TEM-028,TEMPERO BAIANO,2468,ADILSON,12/2026
17/03/2026,TEM-034,AJINOMOTO,,ADILSON,10/2026
18/03/2026,TEM-008,CHIMICHURRI SEM PIMENTA,2224,JOÃO,01/2027
18/03/2026,TEM-015,ALHO FRITO,2058,JOÃO,09/2027
18/03/2026,TEM-006,TEMP PEGA MARIDO,2488,JOÃO,01/2027
18/03/2026,TEM-034,AJINOMOTO,,JOÃO,09/2027
18/03/2026,TEM-005,TEMP PARA ARROZ E FRANGO,2990,JOÃO,07/2027
18/03/2026,TEM-009,LEMON PAPPER,2626,JOÃO,02/2027
18/03/2026,PO-032,ACUCAR DE COCO,1854,JOÃO,08/2027
18/03/2026,GRA-027,GERGELIM BRANCO S. PELE,2296,JOÃO,10/2026
18/03/2026,PO-041,FIBRA DE MAÇA,,JOÃO,01/2027
18/03/2026,TEM-035,ALHO PORÓ,,JOÃO,06/2026
18/03/2026,GRA-039,SEMENTE DE CHIA PREMIUM,5091,JOÃO,08/2026
18/03/2026,TEM-007,ACAFRAO PO,5974,JOÃO,02/2027
18/03/2026,PO-039,FARINHA DA FELICIDADE,,JOÃO,12/2026
18/03/2026,GRA-004,FARELO DE AVEIA,3282,JOÃO,10/2027
18/03/2026,GRA-002,AVEIA FLOCOS FINOS SEM GLUTEM,3418,JOÃO,12/2026
18/03/2026,GRA-016,CASTANHA DE CAJU NA BRASA,4867,JOÃO,01/2027
18/03/2026,GRA-019,CASTANHA DE CAJU NO FORNO,4791,JOÃO,01/2027
18/03/2026,PO-015,GUARANÁ EM PÓ,,ADILSON,10/2027
18/03/2026,GRA-039,SEMENTE DE CHIA PREMIUM,6577,ADILSON,07/2027
18/03/2026,ERV-003,CARDO MARIANO,2440,ADILSON,01/2028
18/03/2026,PO-001,BETERRABA PO,5062,ADILSON,08/2027
18/03/2026,TEM-009,LEMON PAPPER,2930,ADILSON,01/2027
18/03/2026,TEM-030,TEMP ANA MARIA,,ADILSON,10/2026
18/03/2026,GRA-011,AMENDOIN RUNNDER,50000,KATIA,
19/03/2026,GRA-033,CRAVINHO,,JOÃO,01/2028
19/03/2026,ERV-028,FLOR DE HIBISCO,,ADILSON,10/2027
19/03/2026,ERV-024,FLOR DE CAMOMILA,,ADILSON,05/2027
19/03/2026,GRA-029,FENO GREGO,,ADILSON,10/2026
19/03/2026,PO-041,FIBRA DE MAÇA,,ADILSON,01/2027
19/03/2026,TEM-026,ERVAS FINAS,856,ADILSON,10/2027
19/03/2026,GRA-022,LINHACA DOURADA,5027,JOÃO,01/2027
19/03/2026,TEM-007,ACAFRAO PO,7043,JOÃO,01/2027
19/03/2026,SAL-002,SAL ROSA DO HIMALAIA GROSSO,4412,JOÃO,01/2030
19/03/2026,PO-012,CANELA PO,1796,JOÃO,09/2026
19/03/2026,GRA-036,CASTANHA DO PARÁ INT,,JOÃO,01/2027
19/03/2026,PO-008,FARINHA DE CASTANHA DE CAJU,,JOÃO,01/2027
19/03/2026,ERV-025,ESPINHEIRA SANTA,,ADILSON,10/2027
19/03/2026,ERV-018,ALECRIM,7400,ADILSON,01/2027
20/03/2026,GRA-002,AVEIA FLOCOS FINOS SEM GLUTEM,3744,ADILSON,12/2026
20/03/2026,TEM-008,CHIMICHURRI SEM PIMENTA,4000,ADILSON,10/2027
20/03/2026,GRA-039,SEMENTE DE CHIA PREMIUM,6134,ADILSON,07/2027
20/03/2026,GRA-039,SEMENTE DE CHIA PREMIUM,6419,JOÃO,07/2027
20/03/2026,TEM-010,PAPRICA DEFUMADA,3352,JOÃO,02/2027
20/03/2026,GRA-007,SEMENTE DE ABOBORA,5374,JOÃO,10/2027
20/03/2026,PO-038,MARAPUAMA EM PO,,ADILSON,08/2027
20/03/2026,TEM-012,ALHO GRANULADO,2844,ADILSON,09/2027
20/03/2026,GRA-013,AMENDOIM BANDADO,4968,JOÃO,10/2026
20/03/2026,GRA-014,AMENDOIM GRANULADO,3692,JOÃO,06/2026
20/03/2026,TEM-011,PAPRICA DOCE,2880,ADILSON,10/2026
20/03/2026,GRA-001,AVEIA FLOCOS FINOS,3622,ADILSON,12/2027
20/03/2026,PO-006,FARINHA DE UVA,4596,ADILSON,10/2026
20/03/2026,GRA-007,SEMENTE DE ABOBORA,5275,ADILSON,10/2027
20/03/2026,ERV-029,SALVA DO MARAJÓ,,ADILSON,10/2027
20/03/2026,GRA-044,FARINHA DE AVEIA,,JOÃO,09/2026
20/03/2026,GRA-001,AVEIA FLOCOS FINOS,2840,JOÃO,12/2026
20/03/2026,GRA-008,BISCOITO DE ARROZ CHURRASCO,1336,ADILSON,10/2026
20/03/2026,GRA-022,LINHACA DOURADA,5610,ADILSON,10/2027
20/03/2026,GRA-017,MIX DE VEGETAIS,1765,JOÃO,08/2027
20/03/2026,GRA-018,MIX DE FRUTAS TROPICAIS,1232,JOÃO,09/2026
20/03/2026,GRA-045,GRANOLA SEM AÇUCAR,,ADILSON,10/2026
20/03/2026,PO-003,CATUABA PO,1974,ADILSON,06/2027
20/03/2026,PO-023,MACA PERUANA VERMELHA,908,ADILSON,07/2026
20/03/2026,GRA-040,GRANOLA C. CASTANHA E COCO,3616,JOÃO,10/2026
23/03/2026,GRA-039,SEMENTE DE CHIA PREMIUM,6136,ADILSON,07/2027
23/03/2026,PO-010,LINHAÇA DOURADA FARINHA,4528,ADILSON,09/2026
23/03/2026,PO-012,CANELA PO,1386,ADILSON,04/2027
23/03/2026,TEM-009,LEMON PAPPER,2742,ADILSON,01/2027
23/03/2026,GRA-017,MIX DE VEGETAIS,2490,ADILSON,10/2026
25/03/2026,SAB-041,SAB ENXOFRE BARRA,36,ADILSON,
25/03/2026,SAB-018,SAB BICABORNATO BARRA,12,ADILSON,
25/03/2026,SAB-031,SAB CACAU BARRA,12,ADILSON,
25/03/2026,SAB-021,SAB DOLOMITA BARRA,12,ADILSON,
25/03/2026,GRA-004,FARELO DE AVEIA,5558,JOÃO,10/2027
25/03/2026,GRA-039,SEMENTE DE CHIA PREMIUM,6376,JOÃO,07/2027
25/03/2026,PO-010,LINHAÇA DOURADA FARINHA,2588,JOÃO,08/2026
25/03/2026,GRA-022,LINHACA DOURADA,3619,JOÃO,01/2027
25/03/2026,PO-023,MACA PERUANA VERMELHA,,JOÃO,10/2026
25/03/2026,GRA-020,FARELO DE AVEIA SEM GLUTEN,4292,JOÃO,11/2026
25/03/2026,GRA-016,CASTANHA DE CAJU NA BRASA,5320,JOÃO,01/2027
25/03/2026,GRA-019,CASTANHA DE CAJU NO FORNO,3980,JOÃO,01/2027
25/03/2026,GRA-037,CASTANHA DO PARÁ QUE,,JOÃO,01/2027
25/03/2026,ERV-002,BOLDO,5000,JOÃO,05/2027
25/03/2026,PO-005,FENO GREGO PO,2322,JOÃO,10/2027
25/03/2026,PO-025,GENGIBRE EM PO,1636,JOÃO,09/2028
25/03/2026,TEM-024,"CEBOLA, SALSA E ALHO",882,JOÃO,10/2026
25/03/2026,PO-003,CATUABA PO,1950,JOÃO,01/2028
25/03/2026,TEM-002,TEMP DO CHEF,2816,JOÃO,12/2027
25/03/2026,TEM-017,PAPRICA PICANTE,2108,JOÃO,12/2027
25/03/2026,PO-009,CREATINA,2466,JOÃO,02/2027
