codigo,produto,unidade_medida,estoque_minimo,validade_dias
SAB-008,SAB INT 17 ERVAS BIONATIVA,un,10,
SAB-009,SAB INT MARACUJA B.C,un,10,
SAB-010,SAB INT BEIJINHOS MELANCIA,un,10,
SAB-011,SAB INT BEIJINHOS MORANGO,un,10,
SAB-012,SAB INT BARBATIMAO SOUL,un,10,
SAB-013,SAB INT BELL MAN,un,10,
SAB-014,SAB INT AROEIRA BELL CORPUS,un,10,
GEL-001,GEL MASS ANA MARIA 29 ERVAS,un,10,
GEL-002,GEL MASS DETONADOR 21 ERVAS,un,10,
GEL-003,GEL MASS COPAIBA BELL CORPUS,un,10,
GEL-004,GEL MASS ARNICA E COPAIBA BI,un,10,
GEL-005,GEL MASS CARTILAGEM DE TUB 18,un,10,
GEL-006,GEL MASS SUCUPIRA RHE,un,10,
GEL-007,GEL MASS 17 ERVAS BIONAT 240G,un,10,
GEL-008,GEL MASS 27 ERVAS NATIVAS 240G,un,10,
GEL-009,GEL MASS 22 ERVAS NATIVAS 240G,un,10,
GEL-010,GEL MASS ARNICA E COPAIBA 240,un,10,
GEL-011,GEL MASS COPAIBA 240G,un,10,
GEL-012,GEL MASS HIPER 30 ERVAS 240G,un,10,
GEL-013,GEL MASS CARNEIRINHO BI 240G,un,10,
PO-007,LEITE DE COCO EM PO,g,1000,
GRA-010,GERGELIM PRETO,g,1000,
SAL-001,SAL ROSA DO HIMALAIA,g,1000,
GRA-011,AMENDOIN RUNNDER,g,1000,
GRA-012,PEPITA DE GIRASSOL,g,1000,
GRA-013,AMENDOIM BANDADO,g,1000,
PO-008,FARINHA DE CASTANHA DE CAJU,g,1000,
GRA-014,AMENDOIM GRANULADO,g,1000,
PO-009,CREATINA,g,1000,
TEM-009,LEMON PAPPER,g,1000,
PO-010,LINHAÇA DOURADA FARINHA,g,1000,
TEM-010,PAPRICA DEFUMADA,g,1000,
PO-011,MACA PERUANA PRETA,g,1000,
PO-012,CANELA PO,g,1000,
PO-013,CHIMICHURRI COM BARBECUE,g,1000,
ERV-009,SALVIA,g,1000,
PO-014,CARVAO VEGETAL,g,1000,
TEM-011,PAPRICA DOCE,g,1000,
GRA-015,SEMENTE DE CHIA COMUM,g,1000,
PO-015,GUARANÁ EM PÓ,g,1000,
GRA-016,CASTANHA DE CAJU NA BRASA,g,1000,
PO-016,MACA PERUANA COMUM,g,1000,
TEM-012,ALHO GRANULADO,g,1000,
GRA-017,MIX DE VEGETAIS,g,1000,
GRA-018,MIX DE FRUTAS TROPICAIS,g,1000,
TEM-013,AMACIANTE DE CARNE,g,1000,
TEM-014,CALDO DE GALINHA,g,1000,
GRA-019,CASTANHA DE CAJU NO FORNO,g,1000,
OLE-001,OLEO DE COCO 1LT,g,1000,
ERV-010,ALCACHOFRA,g,1000,
PO-017,ARGILA BRANCA,g,1000,
PO-018,ARGILA PRETA,g,1000,
PO-019,ARGILA VERDE,g,1000,
ERV-011,BARDANA,g,1000,
PO-020,DOLOMITA EM PO,g,1000,
ERV-012,BALEEIRA,g,1000,
ERV-013,FOLHA DE GRAVIOLA,g,1000,
ERV-014,FOLHA DE GINKOBILOBA,g,1000,
ERV-015,FOLHA DE JAMBOLAO,g,1000,
ERV-016,FOLHA DE PATA DE VACA,g,1000,
ERV-017,FOLHA DE QUEBRA PEDRA,g,1000,
PO-021,ALBUMINA,g,1000,
ERV-018,ALECRIM,g,1000,
TEM-015,ALHO FRITO,g,1000,
PO-022,BICABORNATO DE SODIO,g,1000,
TEM-016,CHIMICHURRI COM PIMENTA,g,1000,
ERV-019,ERVA DOCE,g,1000,
GRA-020,FARELO DE AVEIA SEM GLUTEN,g,1000,
PO-023,MACA PERUANA VERMELHA,g,1000,
ERV-020,FOLHA DE OLIVEIRA,g,1000,
PO-024,GELATINA SEM SABOR,g,1000,
PO-025,GENGIBRE EM PO,g,1000,
GRA-021,GIRASSOL MIUDO,g,1000,
PO-026,GLUTAMATO MONOSSODICO,g,1000,
GRA-022,LINHACA DOURADA,g,1000,
GRA-023,NOZES MARIPOSA,g,1000,
ERV-021,OREGANO,g,1000,
TEM-017,PAPRICA PICANTE,g,1000,
PO-027,PSYLLIUM,g,1000,
TEM-018,SAL DE PARRILHA C. CHIMICHURRI,g,1000,
TEM-019,TEMPERO DO CHEFF COM CURRY,g,1000,
TEM-020,TEMPERO PARA FEIJAO,g,1000,
TEM-021,TEMPERO TEMPERA TUDO,g,1000,
TEM-022,VINAGRETE EM FLOCOS,g,1000,
SAB-015,SAB ANTICASPA BARRA,un,10,
SAB-016,SAB ARG BRANCA BARRA,un,10,
SAB-017,SAB BICAB C. COPAIBA BARRA,un,10,
SAB-018,SAB BICABORNATO BARRA,un,10,
SAB-019,SAB COCO BARRA,un,10,
SAB-020,SAB COLAGENO BARRA,un,10,
SAB-021,SAB DOLOMITA BARRA,un,10,
SAB-022,SAB ERVA DOCE BARRA,un,10,
SAB-023,SAB PEDRA HUME BARRA,un,10,
SAB-024,SAB PRACAXI BARRA,un,10,
SAB-025,SAB 27 ERVAS BARRA,un,10,
SAB-026,SAB ANDIROBA BARRA,un,10,
SAB-027,SAB AROEIRA BARRA,un,10,
SAB-028,SAB ASSEIO INTIMO BARRA,un,10,
SAB-029,SAB AVEIA E MEL BARRA,un,10,
SAB-030,SAB BARBATIMAO BARRA,un,10,
SAB-031,SAB CACAU BARRA,un,10,
SAB-032,SAB COPAIBA BARRA,un,10,
SAB-033,SAB MICOSIN BARRA,un,10,
SAB-034,SAB PASSA CURA BARRA,un,10,
SAB-035,SAB SAUDE DA MULHER BARRA,un,10,
SAB-036,SAB VERONICA BARRA,un,10,
SAB-037,SAB JUCA BARRA,un,10,
SAB-038,SAB ACAFRAO BARRA,un,10,
SAB-039,SAB ARGILA AMARELA BARRA,un,10,
SAB-040,SAB TARTARUGA BARRA,un,10,
SAB-041,SAB ENXOFRE BARRA,un,10,
SAB-042,SAB JURUA BARRA,un,10,
SAB-043,SAB MATA PIOLHO BARRA,un,10,
SAB-044,SAB ALECRIM BARRA,un,10,
SAB-045,SAB ARG VERDE BARRA,un,10,
SAB-046,SAB ARRUDA BARRA,un,10,
SAB-047,SAB BABOSA BARRA,un,10,
SAB-048,SAB DERMICOTICO BARRA,un,10,
SAB-049,SAB MATA PASTO BARRA,un,10,
SAB-050,SAB MELALEUCA BARRA,un,10,
SAB-051,SAB PEPINO BARRA,un,10,
SAB-052,SAB ACAI BARRA,un,10,
SAB-053,SAB ARG PRETA BARRA,un,10,
SAB-054,SAB ARG ROSA BARRA,un,10,
SAB-055,SAB PERMAGANATO BARRA,un,10,
SAB-056,SAB VENENO BARRA,un,10,
SAB-057,SAB ROSA MOSQUETA BARRA,un,10,
SAB-058,SAB CALENDULA BARRA,un,10,
SAB-059,SAB CRAVOS E ESPINHA BARRA,un,10,
ERV-022,MANJERICAO,g,1000,
PO-028,NO DE CACHORRO,g,1000,
SAL-002,SAL ROSA DO HIMALAIA GROSSO,g,1000,
TEM-023,CHIMICHURRI C. BARBECUE S. GLUT,g,1000,
OUT-001,VINAGRE DE MAÇÃ,un,10,
PO-029,ARGILA CINZA,g,1000,
PO-030,ARGILA DOURADA,g,1000,
PO-031,ARGILA VERMELHA,g,1000,
PO-032,ACUCAR DE COCO,g,1000,
TEM-024,"CEBOLA, SALSA E ALHO",g,1000,
